[0]:0 [1]:0 [2]:0 [3]:0
[0]:3979369487 [1]:1 [2]:2 [3]:124
[0]:3771424327 [1]:1 [2]:2 [3]:65
[0]:3555121867 [1]:1 [2]:2 [3]:127
[0]:3339081833 [1]:1 [2]:2 [3]:203
[0]:4124956683 [1]:1 [2]:2 [3]:144
[0]:3907256296 [1]:1 [2]:2 [3]:120
[0]:3703151821 [1]:1 [2]:2 [3]:193
[0]:3494140282 [1]:1 [2]:2 [3]:196
[0]:4287311499 [1]:1 [2]:2 [3]:200
[0]:4073142559 [1]:1 [2]:2 [3]:137
[0]:3855115166 [1]:1 [2]:2 [3]:93
[0]:3639955244 [1]:1 [2]:2 [3]:141
[0]:3415773387 [1]:1 [2]:2 [3]:146
[0]:4199697641 [1]:1 [2]:2 [3]:190
[0]:3997314186 [1]:1 [2]:2 [3]:95
[0]:3712954832 [1]:1 [2]:2 [3]:64
[0]:3505198113 [1]:1 [2]:2 [3]:114
[0]:4287378582 [1]:1 [2]:2 [3]:197
[0]:4075382647 [1]:1 [2]:2 [3]:103
[0]:3847580352 [1]:1 [2]:2 [3]:196
[0]:3635330567 [1]:1 [2]:2 [3]:156
[0]:3427225517 [1]:1 [2]:2 [3]:170
[0]:4219322118 [1]:1 [2]:2 [3]:32
[0]:4015336086 [1]:1 [2]:2 [3]:113
[0]:3788504902 [1]:1 [2]:2 [3]:128
[0]:3571305506 [1]:1 [2]:2 [3]:33
[0]:3363430962 [1]:1 [2]:2 [3]:164
[0]:4149776057 [1]:1 [2]:2 [3]:166
[0]:3943662061 [1]:1 [2]:2 [3]:146
[0]:3739540653 [1]:1 [2]:2 [3]:111
[0]:3519383041 [1]:1 [2]:2 [3]:103
[0]:3295200319 [1]:1 [2]:2 [3]:99
[0]:4092870147 [1]:1 [2]:2 [3]:49
[0]:3887297738 [1]:1 [2]:2 [3]:31
[0]:3675312399 [1]:1 [2]:2 [3]:198
[0]:3443418096 [1]:1 [2]:2 [3]:96
[0]:4220895133 [1]:1 [2]:2 [3]:62
[0]:4005845313 [1]:1 [2]:2 [3]:45
[0]:3783140492 [1]:1 [2]:2 [3]:197
[0]:3571686602 [1]:1 [2]:2 [3]:194
[0]:3359334982 [1]:1 [2]:2 [3]:75
[0]:4147397684 [1]:1 [2]:2 [3]:194
[0]:3931276487 [1]:1 [2]:2 [3]:196
[0]:3723551503 [1]:1 [2]:2 [3]:198
[0]:3511381867 [1]:1 [2]:2 [3]:161
[0]:3307223592 [1]:1 [2]:2 [3]:32
[0]:4095983994 [1]:1 [2]:2 [3]:30
[0]:3871294974 [1]:1 [2]:2 [3]:32
[0]:3651586268 [1]:1 [2]:2 [3]:110
[0]:3429189866 [1]:1 [2]:2 [3]:198
[0]:4205937828 [1]:1 [2]:2 [3]:30
[0]:3978109216 [1]:1 [2]:2 [3]:105
[0]:3759305636 [1]:1 [2]:2 [3]:193
[0]:3515259703 [1]:1 [2]:2 [3]:55
[0]:3299455422 [1]:1 [2]:2 [3]:191
[0]:4087534151 [1]:1 [2]:2 [3]:28
[0]:3878372547 [1]:1 [2]:2 [3]:198
[0]:3671417719 [1]:1 [2]:2 [3]:197
